borough,tot_violence,tot_sexl_off,tot_robbery,tot_burglary,tot_theft_h,tot_fraud,tot_cr_dam,tot_drugs,tot_off,tot_cr,neet,neet_rate,hb_u25,hb_25_34,hb_35_44,incap_supp,inc_supp,emp_supp,tot_jsa_m,tot_jsa_f,pc_child_oow,life_sat,worthwhile,happiness,anxiety,three_risk,low_sat,bullied,bullies,fif_cannabis_lm,fif_drugs_ex_cannabis,active_houraday,fruitnveg,yo_violence,yo_sexl_off,yo_robbery,yo_burglary_dom,yo_burglary_nondom,yo_tot_burglary,yo_theft_h,yo_vehicle_theft,yo_fraud,yo_cr_dam,yo_drugs,tot_yo,tot_off,yo_ratio
Hillingdon,"6,930.00",432,330,"2,131.00","7,718.00",24,"2,340.00","1,134.00","21,972.00",73.8,280,2.8,970,"3,776.00","5,131.00",840,"3,190.00","8,120.00","1,500.00","1,020.00",12.8,7.63,7.85,7.31,3.04,12.6,15.7,51,9.2,4.1,0.6,15,53.4,104,6,12,4,7,11,33,11,6,31,70,363,"21,972.00",0.0165
Hounslow,"6,369.00",525,381,"1,755.00","8,156.00",24,"2,248.00","1,013.00","21,926.00",81.6,210,2.5,725,"3,599.00","5,358.00",730,"2,840.00","8,150.00","1,780.00","1,150.00",13.6,7.63,7.83,7.56,3.21,9.7,16.6,52.7,11.2,4.9,0.8,11.1,57.8,117,12,19,6,3,9,44,15,2,32,66,407,"21,926.00",0.0186
Islington,"6,884.00",481,952,"2,412.00","12,308.00",35,"2,032.00","1,630.00","28,144.00",123.6,110,2.2,"1,273.00","4,634.00","5,764.00","1,030.00","3,830.00","11,970.00","2,250.00","1,490.00",24.0,7.36,7.47,7.16,3.22,11.9,16.4,47.6,9.1,7.5,2.3,12.4,57.9,137,7,9,24,7,31,71,43,7,18,75,603,"28,144.00",0.0214
Kensington and Chelsea,"4,016.00",301,436,"1,562.00","10,155.00",19,"1,047.00","1,254.00","19,663.00",124.7,60,3.1,519,"1,999.00","3,069.00",520,"1,340.00","5,590.00","1,020.00",690,10.8,7.65,7.74,7.46,3.12,8.2,13,50.2,9.4,4.6,NA,16.5,67.6,27,2,4,1,0,1,1,2,0,2,33,87,"19,663.00",0.0044
Kingston upon Thames,"2,642.00",238,122,885,"3,667.00",17,"1,023.00",882,"10,155.00",58.5,130,2.6,366,"1,572.00","2,158.00",270,990,"3,620.00",670,480,7.9,7.54,7.79,7.49,3.17,13,14.9,52.2,7.2,4.5,1.3,13.6,64,35,3,4,1,5,6,19,4,1,11,22,146,"10,155.00",0.0144
Lambeth,"9,568.00",873,"1,177.00","2,658.00","13,361.00",58,"2,712.00","2,829.00","34,998.00",107.9,160,2,"1,351.00","6,180.00","7,895.00","1,110.00","4,710.00","12,490.00","3,800.00","2,410.00",18.6,7.43,7.62,7.34,3.06,9,15.6,48.5,13.2,7.1,0.7,10.9,54,208,3,24,10,6,16,68,18,6,38,127,646,"34,998.00",0.0185
Lewisham,"7,398.00",630,819,"2,142.00","7,690.00",41,"2,426.00","1,802.00","24,712.00",83.1,280,3.2,"1,645.00","6,327.00","7,641.00","1,080.00","5,170.00","12,090.00","2,940.00","2,030.00",18.5,7.35,7.5,7.23,3.18,12,19.1,54.4,13.1,6.9,1.5,11.3,52.8,257,15,55,12,8,20,68,42,10,46,137,832,"24,712.00",0.0337
Merton,"3,251.00",309,253,"1,403.00","4,717.00",23,"1,435.00",471,"12,933.00",63.2,210,3.5,474,"2,290.00","3,239.00",390,"1,730.00","4,940.00","1,220.00",840,10.7,7.62,7.81,7.51,3.32,11.4,12.7,53,12.2,5.4,0.3,11.8,52.8,51,0,7,1,2,3,19,5,0,4,25,160,"12,933.00",0.0124
Newham,"8,207.00",826,"1,349.00","2,253.00","11,059.00",39,"2,512.00","1,620.00","30,084.00",90.4,420,3.7,905,"5,701.00","9,433.00","1,100.00","4,060.00","12,190.00","2,920.00","2,160.00",15.3,7.56,7.91,7.56,2.69,4.7,17.1,48.9,14,3,0.2,10.6,56.9,152,1,44,9,6,15,47,14,4,36,126,608,"30,084.00",0.0202
Redbridge,"5,845.00",526,637,"1,999.00","6,923.00",32,"1,663.00","1,245.00","19,637.00",66.2,350,3.3,509,"3,039.00","5,208.00",970,"2,710.00","7,290.00","1,690.00","1,280.00",9.8,7.59,7.91,7.45,2.99,6.3,15.7,50.4,11.3,2.5,0.8,14.1,57.8,83,3,17,5,1,6,34,16,1,23,55,363,"19,637.00",0.0185
Richmond upon Thames,"2,554.00",248,138,"1,321.00","4,285.00",22,"1,107.00",364,"10,729.00",55.1,130,3.1,367,"1,349.00","1,883.00",360,970,"3,660.00",740,460,5.7,7.53,7.86,7.48,3.36,21.5,15.3,55.2,12.1,8.5,1.3,13.9,60.1,35,3,4,1,5,6,19,4,1,11,22,146,"10,155.00",0.0144
Southwark,"8,342.00",673,"1,221.00","2,952.00","12,231.00",41,"2,584.00","2,118.00","31,422.00",101.7,180,2.2,"1,305.00","5,509.00","7,035.00","1,130.00","5,050.00","12,760.00","3,300.00","2,150.00",19.9,7.44,7.68,7.43,3.29,8.6,15.5,48.7,10.7,6.6,1.1,11.4,53.3,151,10,26,6,9,15,53,25,2,25,113,534,"10,729.00",0.0498
Sutton,"3,347.00",275,156,"1,247.00","3,433.00",12,"1,318.00",491,"10,949.00",54.7,170,2.4,645,"2,423.00","2,791.00",420,"1,780.00","5,030.00",780,660,10.0,7.63,7.94,7.51,3.01,13.3,14.1,52.5,10.1,4.8,0.6,13.6,55.3,70,0,3,0,6,6,25,3,1,32,21,201,"31,422.00",0.0064
Tower Hamlets,"8,051.00",594,"1,143.00","2,564.00","10,345.00",33,"2,367.00","1,885.00","28,752.00",97.4,280,3.4,"1,012.00","5,931.00","9,031.00",840,"4,220.00","11,910.00","2,700.00","1,830.00",21.2,7.54,7.62,7.26,3.13,3.2,17.9,46.5,13.3,1.8,0.8,9.3,56,174,4,28,8,9,17,53,29,5,38,98,627,"10,949.00",0.0573
Waltham Forest,"6,462.00",481,592,"2,179.00","7,388.00",35,"2,059.00","1,404.00","21,799.00",80.4,260,3,961,"4,788.00","6,557.00","1,020.00","3,310.00","9,210.00","2,600.00","1,790.00",15.1,7.66,7.84,7.42,2.77,9.1,16.9,50.4,12.9,5.4,0.6,10.6,55,147,7,22,10,10,20,40,6,1,35,78,471,"28,752.00",0.0164
Wandsworth,"5,958.00",600,521,"2,377.00","9,617.00",31,"1,829.00",744,"23,292.00",74.1,180,3,945,"4,007.00","5,657.00",830,"3,030.00","8,760.00","1,940.00","1,320.00",12.6,7.46,7.73,7.39,3.11,12.2,15.1,46.9,11.8,7.1,1.2,12.1,57,110,4,9,1,8,9,42,12,0,31,53,373,"21,799.00",0.0171
Westminster,"9,006.00",819,"1,598.00","3,193.00","28,247.00",68,"2,105.00","2,146.00","49,204.00",203.1,60,1.7,547,"2,930.00","4,910.00","1,080.00","2,390.00","9,240.00","1,510.00","1,150.00",15.5,7.53,7.72,7.41,3.4,7.5,14.8,49.6,13.5,4.3,0.6,8.3,61.5,34,0,3,2,7,9,7,7,2,8,33,140,"23,292.00",0.006
